Date,Time,Location,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground,Summary,year,month,day,lon,lat
22/03/1965,14:55,"Sugar Loaf Mountain, Colombia",AVIANCA,676,Bogota - Bucaramanga,Douglas C-47,HK-109,4753,28,26,2,28,26,2,0,"Crashed into Pan de Azucar Peak, 35 nm from Bucaramanga. Flying under VFR in IFR conditions.",1965,3,22,NA,NA
27/09/1965,15:10,"Bao Trai, Vietnam",Air America,NA,NA,Beechcraft C-45H,N9574Z,AF-45,3,1,2,3,1,2,0,Collided with houses during an uncontrolled descent.,1965,9,27,NA,NA
24/12/1966,9:56,"Cascubel River, Colombia",AVIANCA,729,Bogota - Cali,Douglas C-47A-80-DL,HK-161,19630,29,26,3,29,26,3,0,"Crashed into the southern slopes of Tajumbina Peak at 11,600 ft. while approaching Cali. Lack of cockpit discipline. Consuming alcohol shortly before the flight. Not following the recommended route. Incorrectly reported positions. Continuing VFR in IFR conditions. Flying below minimum safe altitude for a VFR approach.",1966,12,24,NA,NA
11/03/1967,16:00,"Mt Visenti, Italy",Aeralpi,NA,Venezia - Belluno,de Havilland Canada DHC-6 Twin Otter 100,I-CLAI,30,5,3,2,4,2,2,0,Flew into Colcanin Mountain in heavy fog while en route.,1967,3,11,NA,NA
25/06/1968,7:30,"Near Bearcat, South Vietnam",Military - U.S. Army,NA,NA,Bell UH-1H / Bell UH-1H / Bell UH-1H,NA,NA,29,NULL,NULL,29,NULL,NULL,0,A mid-air collision between three helicopters at 900 ft. (66-16202) (66-16592) (66-16601).,1968,6,25,NA,NA
2/01/1969,20:12,"Mt. Paku, Taiwan",China Airlines (Taiwan),227,Kaohsiung - Hualien,Douglas DC-3D,B-309,12541,24,19,5,24,19,5,0,Encountered extreme turbulence and downdrafts while en route near mountains.,1969,1,2,NA,NA
1/09/1969,13:05,"Cross Bay, Russia",Aeroflot,55,Anadyr - Cross Bay,Ilyushin IL-14P,CCCP-61731,146000205,27,22,5,22,17,5,0,The plane crashed into a hillside 24 km from the airport in poor weather while on approach.  Failure of the crew  to reduce speed and approach in weather worse than the specified minimum.,1969,9,1,NA,NA
14/01/1970,NA,"Mt. Pumacona, Peru",Faucett,NA,Trujillo - Juanjui,Douglas DC-4,OB-R-776,10591,28,24,4,28,24,4,0,"Flew into a 10,500 ft. mountain. The mental state of the pilot-in-command adversely affected his judgement and efficiency. Contributing factors  ATC error, navigational aids not functional.",1970,1,14,NA,NA
2/09/1970,15:41,"Lihovka, Ukraine",Aeroflot,3630,Rostov-on-Don - Vilnius,Tupolev Tu-124,CCCP-45012,1350402,37,32,5,37,32,5,0,The plane lost control and crashed about 30 minutes after taking off. Cause undetermined.,1970,9,2,NA,NA
17/02/1971,NA,"Mt. Cunatineuta, Ecuador",TAM (Transportes Aereos Militares),NA,La Paz - San Borja,Curtiss C-46,TAM-60,26683,12,8,4,12,8,4,0,Cashed into a mountain 15 minutes after taking off in poor weather conditions. Controlled flight into terrain.,1971,2,17,NA,NA
6/12/1971,NA,"Tikaka, Sudan",Sudan Airways,NA,Khartoum - Malakal,Fokker F-27 Friendship 200,ST-AAY,10238,42,37,5,10,9,1,0,The aircraft experienced a forced landing after being hijacked and running out of fuel.,1971,12,6,NA,NA
19/03/1972,NA,"Shamsam Mountains, South Yemen",Egyptair,763,Cairo - Jeddah - Aden,McDonnell Douglas DC-9-32,YU-AHR,47503/587,22,13,9,22,13,9,0,"The aircraft crashed into Shamsam Mountain and exploded, during a visual approach, 4 miles SW of the airport. Controlled flight into terrain.",1972,3,19,NA,NA
24/04/1972,12:23,"Nyot Mo, Laos",Air America,NA,"Long Tieng, Laos - Moung Cha, Laos",Pilatus PC6CH2,N391R,NA,10,9,1,4,4,0,0,Hit trees while flying through a mountain pass in rain and fog.,1972,4,24,NA,NA
1/10/1972,19:25,"Near Adler, USSR",Aeroflot,1036,Adler - Moscow,Ilyushin IL-18B,CCCP-75507,183006405,108,108,8,108,100,8,0,"The flight ditched into Black Sea shortly after takeoff. The accident occurred in good weather and visibility, and ground controllers received no distress message prior to the crash. An investigation failed to reveal its cause.",1972,10,1,NA,NA
11/09/1973,NA,"Moganik, Yugoslavia",JAT Yugoslav Airlines,NA,Skopje - Titograd,Aerospatiale Caravelle 6N,YU-AHD,151/149,41,35,6,41,35,6,0,"The aircraft struck Moganik Mountain at 6,300 ft., while descending. Controlled flight into terrain.",1973,9,11,NA,NA
16/12/1973,19:13,"Near Karacharovo, USSR",Aeroflot,2022,Vilnius - Moscow,Tupolev TU-124,CCCP-45061,3351406,51,45,6,51,45,6,0,Went into a sudden dive and crashed to the ground. A short circuit occurred in the elevator trim system.,1973,12,16,NA,NA
16/03/1975,13:40,"Near Barito, Argentina",Military - Argentine Air Force,NA,El Palomar AB - San Carlos de Bariloche,Fokker F-27 Friendship 400M,TC-72,10404,55,50,5,55,50,5,0,The aircraft struck a mountain while preparing for an ILS approach in poor weather. Crew error. Crew descended below the minimum safe altitude before knowing their position.,1975,3,16,NA,NA
17/06/1975,NA,"Pedro Alfonso, Brazil",Varig,NA,Sao Paulo - Porto Nacional - Pedro Afonso - Belém,Hawker Siddeley HS-748-235 Srs. 2A,PP-VDN,1625,15,11,4,1,0,1,3,"The aircraft landed with excessive speed and touched down on the last 300 meters of the runway, overran the runway, crossed a street and crashed into a house.",1975,6,17,NA,NA
27/10/1975,6:45,"Tomonoco, Bolivia",TAM (Bolivia),NA,Tomonoco - La Paz,Convair CV-440-12,TAM-44,328,67,63,4,67,63,4,0,The aircraft took off reaching a altitude of only 300 feet which was insufficient to clear the terrain surrounding the airport. Cause not determined. Overloaded.,1975,10,27,NA,NA
25/11/1975,18:50,"Near Bir Lahfan, Egypt",Military - Israel  Air Force,NA,NA,Lockheed C-130 Hercules,11,NA,20,11,9,20,11,9,0,Crashed 15 ft. below the summit of cloud-obscured Jebel Hilal Mountain on the Israeli-occupied Sinai Peninsula.,1975,11,25,NA,NA
10/09/1976,10:15,"Near Gaj, Hrvatska, Yugoslavia",Inex Adria Aviopromet / British Airways,550/476,Split - Koln / London - Istanbul,McDonnell Douglas DC-9-31 / Trident 3B,YU-AJR/G-AWZT,47649741 / 2320,176,162,14,176,162,14,0,"Midair collision. Both planes flew towards the same VOR at the same altitude at the same time. ATC error, negligence in operations. Improper look-out duties on both aircraft. One hundred thirteen deaths on the DC-9 and 63 on the Trident. The entire shift of controllers were arrested. One was found guilty of criminal negligence and sentenced to seven years in jail but release after 3 1/2 years. The controller was made a scapegoat. The real cause was a run down air traffic control system.",1976,9,10,NA,NA
29/03/1977,NA,"Bainaha Valley, Indonesia",Merpati Nusantara Airlines,NA,Palu - Toli Toli,de Havilland Canada DHC-6 Twin Otter 300,PK-NUP,486,23,20,3,15,13,2,0,"After spotting a mountain in front of him, the pilot applied full power and went into a steep climb. The plane stalled and crashed into trees.",1977,3,29,NA,NA
